Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
01/01/2022,Jan,2022,Commercial Therms,1572935,Commercial Count,2376
01/01/2022,Jan,2022,Interdepartmental Therms,48494,Interdepartmental Count,114
01/01/2022,Jan,2022,Other Public Authority Therms,279587,Other Public Authority Count,116
01/01/2022,Jan,2022,Residential Therms,2889400,Residential Count,68756
02/01/2022,Feb,2022,Commercial Therms,1700856,Commercial Count,2345
02/01/2022,Feb,2022,Interdepartmental Therms,52839,Interdepartmental Count,114
02/01/2022,Feb,2022,Other Public Authority Therms,337430,Other Public Authority Count,116
02/01/2022,Feb,2022,Residential Therms,2776341,Residential Count,69101
03/01/2022,Mar,2022,Commercial Therms,1655468,Commercial Count,2358
03/01/2022,Mar,2022,Interdepartmental Therms,48251,Interdepartmental Count,115
03/01/2022,Mar,2022,Other Public Authority Therms,295076,Other Public Authority Count,115
03/01/2022,Mar,2022,Residential Therms,2333089,Residential Count,69600
04/01/2022,Apr,2022,Commercial Therms,1376135,Commercial Count,2338
04/01/2022,Apr,2022,Interdepartmental Therms,37074,Interdepartmental Count,114
04/01/2022,Apr,2022,Other Public Authority Therms,261960,Other Public Authority Count,115
04/01/2022,Apr,2022,Residential Therms,1395744,Residential Count,69289
05/01/2022,May,2022,Commercial Therms,1155240,Commercial Count,2362
05/01/2022,May,2022,Interdepartmental Therms,24270,Interdepartmental Count,112
05/01/2022,May,2022,Other Public Authority Therms,231670,Other Public Authority Count,115
05/01/2022,May,2022,Residential Therms,1028250,Residential Count,69629
06/01/2022,Jun,2022,Commercial Therms,1075661,Commercial Count,2351
06/01/2022,Jun,2022,Interdepartmental Therms,18405,Interdepartmental Count,114
06/01/2022,Jun,2022,Other Public Authority Therms,208343,Other Public Authority Count,115
06/01/2022,Jun,2022,Residential Therms,816790,Residential Count,69595
07/01/2022,Jul,2022,Commercial Therms,989067,Commercial Count,2348
07/01/2022,Jul,2022,Interdepartmental Therms,14702,Interdepartmental Count,112
07/01/2022,Jul,2022,Other Public Authority Therms,168738,Other Public Authority Count,115
07/01/2022,Jul,2022,Residential Therms,630238,Residential Count,69256
08/01/2022,Aug,2022,Commercial Therms,983011,Commercial Count,2358
08/01/2022,Aug,2022,Interdepartmental Therms,14130,Interdepartmental Count,114
08/01/2022,Aug,2022,Other Public Authority Therms,187540,Other Public Authority Count,115
08/01/2022,Aug,2022,Residential Therms,569980,Residential Count,69462
09/01/2022,Sep,2022,Commercial Therms,924845,Commercial Count,2366
09/01/2022,Sep,2022,Interdepartmental Therms,11377,Interdepartmental Count,113
09/01/2022,Sep,2022,Other Public Authority Therms,223599,Other Public Authority Count,115
09/01/2022,Sep,2022,Residential Therms,585379,Residential Count,69531
