Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2019-01-01,0,4,383.8,24866.0,170587.0
2019-01-01,1,4,63.0,14833.0,30242.0
2019-01-01,2,4,34.8,0.0,9310.0
2019-01-01,3,4,27.9,1202.0,8465.0
2019-01-01,4,4,77.3,27888.0,28630.0
2019-01-01,5,4,187.2,26512.0,83240.0
2019-01-01,6,4,66.2,13793.0,29349.0
2019-01-01,7,4,264.4,1883.0,12640.0
2019-01-01,8,4,28.5,1621.0,6236.0
2019-02-01,0,3,370.6,23364.0,150283.0
2019-02-01,1,3,61.8,16824.0,26512.0
2019-02-01,2,3,35.8,0.0,8735.0
2019-02-01,3,3,23.4,1496.0,10004.0
2019-02-01,4,3,72.1,27360.0,26700.0
2019-02-01,5,3,155.5,24763.0,75622.0
2019-02-01,6,3,58.4,14180.0,20793.296
2019-02-01,7,3,268.3,1265.0,19560.0
2019-02-01,8,3,24.0,1909.0,5321.0
2019-03-01,0,7,336.4,39995.0,178717.0
